iter	Passed	Remaining
0	2	274
1	4	242
2	7	227
3	8	210
4	10	208
5	13	211
6	16	215
7	18	216
8	21	212
9	22	205
10	25	203
11	27	201
12	29	198
13	31	194
14	33	190
15	35	186
16	37	181
17	38	177
18	40	172
19	42	169
20	44	166
21	46	163
22	47	160
23	49	156
24	51	154
25	52	150
26	54	147
27	56	145
28	58	143
29	60	140
30	62	138
31	64	136
32	65	133
33	67	131
34	69	129
35	71	126
36	72	124
37	74	122
38	76	119
39	78	117
40	80	115
41	80	111
42	82	109
43	84	107
44	86	105
45	88	103
46	89	101
47	91	99
48	93	96
49	94	94
50	96	92
51	98	90
52	99	88
53	101	86
54	102	84
55	104	82
56	106	80
57	108	78
58	110	76
59	111	74
60	113	72
61	115	70
62	117	69
63	119	67
64	121	65
65	123	63
66	124	61
67	126	59
68	128	57
69	130	55
70	131	53
71	134	52
72	135	50
73	137	48
74	139	46
75	141	44
76	143	42
77	144	40
78	146	38
79	148	37
80	150	35
81	151	33
82	153	31
83	155	29
84	157	27
85	159	25
86	161	24
87	163	22
88	164	20
89	166	18
90	168	16
91	170	14
92	171	12
93	174	11
94	176	9
95	178	7
96	180	5
97	182	3
98	184	1
99	186	0
