iter	Passed	Remaining
0	166	165870
1	168	83875
2	170	56635
3	173	43139
4	175	34971
5	177	29482
6	180	25613
7	183	22718
8	186	20511
9	189	18769
10	191	17249
11	193	15962
12	195	14835
13	196	13841
14	198	13038
15	200	12304
16	201	11636
17	202	11052
18	204	10536
19	205	10062
20	206	9624
21	207	9221
22	208	8848
23	209	8507
24	210	8199
25	211	7933
26	213	7680
27	214	7431
28	214	7196
29	215	6977
30	216	6771
31	217	6589
32	218	6416
33	220	6257
34	221	6101
35	222	5951
36	223	5809
37	224	5677
38	225	5550
39	227	5451
40	228	5338
41	229	5227
42	230	5122
43	231	5023
44	232	4928
45	233	4842
46	234	4756
47	235	4674
48	236	4592
49	237	4512
50	238	4437
51	239	4364
52	240	4300
53	242	4242
54	243	4178
55	244	4115
56	245	4055
57	246	4000
58	247	3948
59	248	3895
60	249	3841
61	250	3789
62	251	3738
63	252	3687
64	253	3640
65	254	3595
66	255	3556
67	256	3520
68	257	3480
69	258	3439
70	260	3403
71	261	3368
72	262	3331
73	263	3294
74	264	3260
75	265	3226
76	266	3192
77	267	3159
78	268	3127
79	269	3093
80	270	3067
81	272	3046
82	272	3014
83	273	2987
84	274	2959
85	275	2933
86	277	2906
87	277	2880
88	278	2854
89	280	2831
90	280	2805
91	281	2780
92	282	2754
93	283	2730
94	284	2710
95	286	2693
96	287	2674
97	288	2652
98	289	2630
99	289	2609
100	290	2590
101	292	2571
102	293	2552
103	293	2532
104	294	2512
105	295	2494
106	296	2474
107	297	2457
108	298	2439
109	299	2420
110	301	2412
111	302	2396
112	303	2379
113	303	2362
114	304	2346
115	305	2331
116	306	2315
117	307	2300
118	308	2286
119	309	2271
120	310	2256
121	311	2240
122	312	2226
123	313	2213
124	314	2199
125	315	2187
126	316	2177
127	317	2165
128	318	2153
129	319	2139
130	320	2126
131	321	2114
132	322	2102
133	323	2090
134	324	2077
135	325	2065
136	325	2053
137	327	2042
138	327	2031
139	328	2020
140	329	2009
141	330	1998
142	332	1991
143	333	1981
144	334	1970
145	335	1959
146	335	1949
147	336	1939
148	337	1929
149	338	1920
150	339	1911
151	340	1901
152	341	1890
153	342	1882
154	343	1872
155	344	1862
156	345	1857
157	347	1850
158	348	1842
159	349	1834
160	349	1823
161	350	1814
162	351	1806
163	352	1798
164	353	1789
165	354	1781
166	355	1773
167	356	1764
168	357	1755
169	357	1747
170	358	1739
171	359	1732
172	361	1727
173	362	1722
174	363	1714
175	364	1706
176	365	1698
177	366	1692
178	367	1686
179	368	1679
180	369	1673
181	370	1666
182	371	1658
183	372	1652
184	373	1645
185	374	1639
186	376	1635
187	377	1631
188	378	1624
189	379	1618
190	380	1611
191	381	1605
192	382	1600
193	383	1594
194	384	1589
195	385	1583
196	386	1577
197	387	1571
198	388	1565
199	389	1559
200	391	1555
201	392	1551
202	394	1547
203	394	1541
204	395	1535
205	396	1530
206	397	1523
207	399	1519
208	399	1513
209	400	1508
210	401	1502
211	402	1497
212	403	1491
213	416	1529
214	417	1525
215	419	1522
216	421	1519
217	423	1520
218	425	1516
219	426	1513
220	428	1509
221	430	1507
222	432	1505
223	433	1501
224	434	1496
225	436	1494
226	438	1494
227	440	1492
228	442	1489
229	444	1487
230	446	1485
231	448	1483
232	449	1479
233	451	1477
234	454	1478
235	456	1477
236	458	1474
237	459	1472
238	461	1470
239	463	1467
240	464	1463
241	466	1460
242	468	1458
243	469	1455
244	470	1451
245	472	1447
246	473	1444
247	475	1440
248	476	1436
249	477	1432
250	478	1428
251	480	1424
252	481	1420
253	482	1418
254	484	1414
255	485	1410
256	486	1407
257	488	1405
258	489	1401
259	491	1397
260	492	1394
261	493	1390
262	494	1386
263	495	1382
264	497	1380
265	499	1377
266	500	1373
267	501	1369
268	502	1366
269	504	1362
270	505	1359
271	506	1355
272	507	1351
273	508	1347
274	509	1343
275	510	1339
276	512	1338
277	513	1334
278	514	1330
279	516	1327
280	517	1324
281	518	1320
282	519	1317
283	521	1313
284	522	1309
285	523	1305
286	523	1301
287	524	1297
288	525	1293
289	526	1289
290	527	1286
291	529	1283
292	530	1279
293	531	1275
294	531	1271
295	532	1267
296	534	1264
297	535	1261
298	536	1257
299	537	1253
300	538	1249
301	539	1245
302	540	1242
303	541	1238
304	542	1235
305	543	1232
306	544	1229
307	545	1225
308	546	1222
309	547	1219
310	548	1216
311	549	1212
312	550	1208
313	551	1205
314	552	1201
315	553	1198
316	554	1194
317	555	1191
318	556	1187
319	557	1185
320	559	1182
321	560	1179
322	561	1176
323	562	1173
324	563	1170
325	564	1167
326	565	1164
327	566	1160
328	567	1157
329	568	1154
330	569	1150
331	570	1147
332	571	1143
333	572	1140
334	573	1138
335	574	1136
336	576	1133
337	576	1129
338	577	1126
339	578	1123
340	579	1119
341	580	1116
342	581	1113
343	582	1110
344	582	1106
345	583	1103
346	584	1100
347	585	1096
348	586	1093
349	587	1090
350	588	1088
351	589	1085
352	590	1082
353	591	1079
354	592	1076
355	593	1073
356	594	1070
357	595	1067
358	596	1064
359	596	1061
360	597	1058
361	598	1054
362	599	1051
363	600	1048
364	601	1045
